osmid,highway,lanes,name,ref,oneway,reversed,length,geometry,speed_kph,service,maxspeed,access,width,bridge,junction,tunnel
136494885,service,,,,False,True,7.164208717502159,"LINESTRING (121.2387035 14.1790868, 121.2387055 14.1790224)",20.0,driveway,20,,,,,
1330418542,footway,,,,False,True,27.095454961727828,"LINESTRING (121.2387035 14.1790868, 121.2389523 14.1790523)",30.0,,,,,,,
"[1474484363, 1474484364, 1330418542]",footway,,,,False,False,118.6738195329584,"LINESTRING (121.2387035 14.1790868, 121.2382805 14.1791186, 121.2380291 14.1791433, 121.2378903 14.1791696, 121.2376178 14.1792415)",30.0,,,,,yes,,
678320991,footway,,,,False,False,62.625253926583376,"LINESTRING (121.2376178 14.1792415, 121.2373792 14.179755)",30.0,,,,,,,
678320991,footway,,,,False,True,7.361084736065282,"LINESTRING (121.2376178 14.1792415, 121.2376231 14.1791755)",30.0,,,,,,,
1474484363,footway,,,,False,False,43.35387122964202,"LINESTRING (121.2376178 14.1792415, 121.2372302 14.1793454)",30.0,,,,,,,
"[1474484363, 1474484364, 1330418542]",footway,,,,False,True,118.67381953295842,"LINESTRING (121.2376178 14.1792415, 121.2378903 14.1791696, 121.2380291 14.1791433, 121.2382805 14.1791186, 121.2387035 14.1790868)",30.0,,,,,yes,,
38415710,residential,,,,False,True,6.22163449420748,"LINESTRING (121.2363184 14.1796568, 121.2363049 14.1796024)",31.861943687556767,,,,,,,
1474484363,footway,,,,False,True,104.219026389329,"LINESTRING (121.2363184 14.1796568, 121.2372302 14.1793454)",30.0,,,,,,,
38415710,residential,,,,False,False,57.57230422581365,"LINESTRING (121.2363184 14.1796568, 121.2363276 14.1797326, 121.2362882 14.1799076, 121.2362785 14.179943, 121.236238 14.1800588, 121.2362002 14.1801555)",31.861943687556767,,,,,,,
1474484363,footway,,,,False,False,180.93808761299906,"LINESTRING (121.2363184 14.1796568, 121.2353625 14.1800301, 121.2352981 14.1800586, 121.2347845 14.1803136)",30.0,,,,,,,
823312855,footway,,,,False,True,2.881243787405873,"LINESTRING (121.2401771 14.1788647, 121.2401763 14.1788388)",30.0,,,,,,,
1330418542,footway,,,,False,False,34.3317098133135,"LINESTRING (121.2401771 14.1788647, 121.2398626 14.1789132)",30.0,,,,,,,
1330418542,footway,,,,False,True,17.269623399213085,"LINESTRING (121.2401771 14.1788647, 121.2403353 14.1788403)",30.0,,,,,,,
"[823312856, 823312855]",footway,,,,False,False,22.302308794142913,"LINESTRING (121.2401771 14.1788647, 121.2401812 14.1789258, 121.2401817 14.1789689, 121.2401753 14.1789969, 121.2401672 14.179064)",30.0,,,private,,,,
35602359,unclassified,,,,False,True,3.617593360506592,"LINESTRING (121.2407843 14.1787596, 121.2407948 14.1787287)",30.0,,30,,,,,
1330418542,footway,,,,False,False,49.230354779818605,"LINESTRING (121.2407843 14.1787596, 121.2403353 14.1788403)",30.0,,,,,,,
1330418542,footway,,,,False,True,30.416231281005206,"LINESTRING (121.2407843 14.1787596, 121.2410617 14.1787097)",30.0,,,,,,,
35602359,unclassified,,,,False,False,41.061349312308415,"LINESTRING (121.2407843 14.1787596, 121.2407475 14.178986, 121.2407233 14.1791241)",30.0,,30,,,,,
1174216001,service,,,,False,False,5.159045015158208,"LINESTRING (121.2414808 14.1786253, 121.2414862 14.1785792)",25.846456692913385,,,no,,,,
1330418542,footway,,,,False,False,21.958974525858288,"LINESTRING (121.2414808 14.1786253, 121.2412824 14.17867)",30.0,,,,,,,
1330418542,footway,,,,False,True,7.06205251549708,"LINESTRING (121.2414808 14.1786253, 121.2415446 14.1786109)",30.0,,,,,,,
"[1174216000, 1174216001, 1174009314]",service,,,,False,True,46.40967840814325,"LINESTRING (121.2414808 14.1786253, 121.2414715 14.1787261, 121.2414522 14.1789878, 121.2414488 14.1790415)",25.846456692913385,,,no,,,,
1330418542,footway,,,,False,False,7.06205251549708,"LINESTRING (121.2415446 14.1786109, 121.2414808 14.1786253)",30.0,,,,,,,
